序号,名称,1_max,2_max,1_avg,2_avg,瓶颈距离,一维持续性景观的L1范数,一维持续性景观的L2范数 ,持续熵,,,,,,,,,,,,,,,,,
1,平安银行000001.SZ,0.124714399,0,0.124714399,0,0.062357199,0.481016711,0.168164861,0,,,,,,,,,,,,,,,,,
2,万科A000002.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
3,中兴通讯000063.SZ,0.89080911,0,0.314730898,0,0.445404555,3.460907881,1.201429088,0.231967775,,,,,,,,,,,,,,,,,
4,华侨城A000069.SZ,1.619826193,0,1.018770952,0,0.809913096,3.971292503,1.702899891,0.507269303,,,,,,,,,,,,,,,,,
5,TCL科技000100.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
6,中联重科000157.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
7,申万宏源000166.SZ,7.390437437,0,3.740936755,0,3.695218719,28.5045187,9.965263807,0.065974685,大,,,,,,,,,,,,,,,,
8,东方盛虹000301.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
9,美的集团000333.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
10,潍柴动力000338.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
11,藏格矿业000408.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
12,徐工机械000425.SZ,3.349994678,0,1.5155761,0,1.674997339,15.99626328,4.771076027,1.604067203,,,,,,,,,,,,,,,,,
13,云南白药000538.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
14,泸州老窖000568.SZ,2.085375867,0,1.04218711,0,1.042687933,11.25687014,3.148923525,1.638097289,,,,,,,,,,,,,,,,,
15,古井贡酒000596.SZ,3.426367176,0.32679862,0.686041201,0.126898396,1.713183588,14.265083,4.667197272,1.768176964,,,,,,,,,,,,,,,,,
16,长安汽车000625.SZ,2.659670227,0.464658124,0.69004297,0.168699855,1.329835114,10.60809733,3.426749131,1.946845393,,,,,,,,,,,,,,,,,
17,格力电器000651.SZ,0.025701793,0,0.025701793,0,0.012850896,0.099130429,0.03465629,0,,,,,,,,,,,,,,,,,
18,长春高新000661.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
19,中信特钢000708.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
20,美锦能源000723.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
21,京东方A000725.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
22,振华科技000733.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
23,中航西飞000768.SZ,2.916644116,0,0.891613227,0,1.458322058,13.60048342,4.117327923,1.237130712,,,,,,,,,,,,,,,,,
24,广发证券000776.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
25,北新建材000786.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
26,一汽解放000800.SZ,3.457304739,0.195746391,1.942784414,0.10202267,1.728652369,18.22930365,5.145840348,1.019218476,,,,,,,,,,,,,,,,,
27,五粮液000858.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
28,新希望000876.SZ,0.58194844,0.027854943,0.332170646,0.016746552,0.29097422,1.738374894,0.688610082,0.571195373,,,,,,,,,,,,,,,,,
29,天山股份000877.SZ,0.663197435,0.074561029,0.646123165,0.074561029,0.331598717,3.488221478,1.036626405,0.866709029,,,,,,,,,,,,,,,,,
30,双汇发展000895.SZ,0.292021144,0,0.109184105,0,0.146010572,1.201640446,0.397336285,0.966228409,,,,,,,,,,,,,,,,,
31,紫光股份000938.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
32,华东医药000963.SZ,3.908758229,0.077510122,1.879037602,0.077510122,1.954379114,26.31043302,6.751773218,1.287224865,,,,,,,,,,,,,,,,,
33,浪潮信息000977.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
34,招商蛇口001979.SZ,4.603537443,0,2.607918885,0,2.301768722,24.72781126,6.93093538,1.509135522,,,,,,,,,,,,,,,,,
35,新和成002001.SZ,0.691386573,0.007551401,0.540608326,0.007551401,0.345693286,3.46484206,1.007203305,0.690588121,,,,,,,,,,,,,,,,,
36,华兰生物002007.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
37,大族激光002008.SZ,1.001756402,0,0.635868854,0,0.500878201,5.644896946,1.547243384,1.30855779,,,,,,,,,,,,,,,,,
38,分众传媒002027.SZ,0.107318096,0,0.107318096,0,0.053659048,0.41392011,0.144707691,0,,,,,,,,,,,,,,,,,
39,苏泊尔002032.SZ,0.158067593,0,0.092653482,0,0.079033796,0.627858532,0.213913971,0.417462654,,,,,,,,,,,,,,,,,
40,紫光国微002049.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
41,三花智控002050.SZ,3.054370901,0.377772665,0.850589306,0.377772665,1.527185451,10.232805,3.698600631,1.34935679,,,,,,,,,,,,,,,,,
42,华峰化学002064.SZ,0.390317859,0,0.150634037,0,0.195158929,2.030564492,0.577943335,1.178071869,,,,,,,,,,,,,,,,,
43,国轩高科002074.SZ,4.917251095,0.355260048,1.458721339,0.179004162,2.458625547,18.83256611,6.490490505,1.11186273,,,,,,,,,,,,,,,,,
44,韵达股份002120.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
45,TCL中环002129.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
46,宁波银行002142.SZ,0.204787726,0.186053666,0.117402198,0.120104783,0.102393863,0.780397778,0.250318255,1.832760111,,,,,,,,,,,,,,,,,
47,中航光电002179.SZ,2.504472893,0,1.19858777,0,1.252236446,11.31438732,3.494535864,1.157487437,,,,,,,,,,,,,,,,,
48,纳思达002180.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
49,金风科技002202.SZ,4.880953565,0.472491688,2.870101703,0.472491688,2.440476782,19.36787858,6.441209231,1.137558845,,,,,,,,,,,,,,,,,
50,科大讯飞002230.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
51,大华股份002236.SZ,0.398644339,0,0.158538165,0,0.19932217,1.779672756,0.554339289,0.909691139,,,,,,,,,,,,,,,,,
52,歌尔股份002241.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
53,上海莱士002252.SZ,0.209059918,0,0.091099215,0,0.104529959,1.275738312,0.338840554,1.392344002,,,,,,,,,,,,,,,,,
54,东方雨虹002271.SZ,1.494483169,0,0.468309903,0,0.747241584,7.106228374,2.124784768,1.119497724,,,,,,,,,,,,,,,,,
55,洋河股份002304.SZ,4.171844974,0,2.190521907,0,2.085922487,20.42735565,6.011491472,0.774971267,,,,,,,,,,,,,,,,,
56,海大集团002311.SZ,3.47672944,0.20298358,1.452827434,0.158286366,1.73836472,9.670713626,3.833207167,1.440315552,,,,,,,,,,,,,,,,,
57,顺丰控股002352.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
58,北方华创002371.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
59,广联达002410.SZ,0.648497013,0.006281183,0.384701458,0.006281183,0.324248506,1.577842609,0.624715967,1.296403652,,,,,,,,,,,,,,,,,
60,高德红外002414.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
61,海康威视002415.SZ,0.381138486,0.067906572,0.203899299,0.040366479,0.190569243,0.999155882,0.418518722,0.722231821,,,,,,,,,,,,,,,,,
62,晶澳科技002459.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
63,赣锋锂业002460.SZ,1.394778153,0.153479881,0.485654525,0.120201725,0.697389077,4.67118913,1.697046449,1.33071103,,,,,,,,,,,,,,,,,
64,天齐锂业002466.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
65,立讯精密002475.SZ,0.58067528,0.024678852,0.124133788,0.018737895,0.29033764,2.359771598,0.787355687,1.760347736,,,,,,,,,,,,,,,,,
66,荣盛石化002493.SZ,0.053591686,0,0.053591686,0,0.026795843,0.206700245,0.072263015,0,,,,,,,,,,,,,,,,,
67,三七互娱002555.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
68,比亚迪002594.SZ,2.823012348,0.222297328,1.019960541,0.222297328,1.411506174,8.4898057,3.231207304,0.975484433,,,,,,,,,,,,,,,,,
69,领益智造002600.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
70,龙佰集团002601.SZ,0.461292456,0.056615025,0.183967158,0.050250904,0.230646228,1.070243067,0.467988863,1.32883366,,,,,,,,,,,,,,,,,
71,世纪华通002602.SZ,0.474933539,0.004811018,0.323835134,0.004811018,0.23746677,3.02277355,0.810174687,0.902343492,,,,,,,,,,,,,,,,,
72,卫星化学002648.SZ,0.252780174,0.190396805,0.137487844,0.190396805,0.126390087,1.532028078,0.407920201,0.842290817,,,,,,,,,,,,,,,,,
73,天赐材料002709.SZ,4.129520652,0,2.157561399,0,2.064760326,15.92733849,5.568244512,0.177401118,,,,,,,,,,,,,,,,,
74,牧原股份002714.SZ,0.275155065,0,0.275155065,0,0.137577533,1.061258251,0.371019015,0,,,,,,,,,,,,,,,,,
75,国信证券002736.SZ,0.49392931,0.001446172,0.240438921,0.001446172,0.246964655,1.680985228,0.601058435,0.7589336,,,,,,,,,,,,,,,,,
76,永兴材料002756.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
77,恩捷股份002812.SZ,0.923914196,0,0.384956125,0,0.461957098,5.947629398,1.550045122,1.537040724,,,,,,,,,,,,,,,,,
78,凯莱英002821.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
79,视源股份002841.SZ,0.071909464,0,0.071909464,0,0.035954732,0.277350927,0.096962702,0,,,,,,,,,,,,,,,,,
80,深南电路002916.SZ,1.837905259,0.212040121,0.397867542,0.125513702,0.91895263,5.972618969,2.250479322,0.904719475,,,,,,,,,,,,,,,,,
81,德赛西威002920.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
82,鹏鼎控股002938.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
83,中国广核003816.SZ,4.769713706,0.033380859,2.132190857,0.033380859,2.384856853,20.3155971,6.53919454,0.649167851,,,,,,,,,,,,,,,,,
84,亿纬锂能300014.SZ,1.31084401,0.051784924,1.048247797,0.051784924,0.655422005,6.788688512,1.981190444,1.134977528,,,,,,,,,,,,,,,,,
85,爱尔眼科300015.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
86,同花顺300033.SZ,2.812040956,0.122510507,1.390267626,0.064564947,1.406020478,12.94593829,3.967626921,1.455930312,,,,,,,,,,,,,,,,,
87,东方财富300059.SZ,0.597699306,0,0.533502382,0,0.298849653,3.730596434,0.981873538,0.685889821,,,,,,,,,,,,,,,,,
88,智飞生物300122.SZ,1.217556663,0,0.623040811,0,0.608778332,5.962052383,1.754506097,0.696407346,,,,,,,,,,,,,,,,,
89,汇川技术300124.SZ,0.311105684,0,0.247775439,0,0.155552842,2.203456978,0.559050141,1.365594389,,,,,,,,,,,,,,,,,
90,沃森生物300142.SZ,2.296035759,0.171673839,0.669768663,0.107984934,1.148017879,7.161329719,2.728719976,1.097305952,,,,,,,,,,,,,,,,,
91,欣旺达300207.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
92,北京君正300223.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
93,阳光电源300274.SZ,0.897941167,0.043492751,0.386386617,0.043492751,0.448970583,4.983343597,1.383001454,1.460483781,,,,,,,,,,,,,,,,,
94,晶盛机电300316.SZ,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
95,泰格医药300347.SZ,0.507130679,0.052407082,0.206842114,0.052407082,0.25356534,2.257301399,0.703558711,1.136803324,,,,,,,,,,,,,,,,,
96,三环集团300408.SZ,0.878736236,0.067332994,0.282748396,0.067332994,0.439368118,2.309112228,0.938279493,1.156974616,,,,,,,,,,,,,,,,,
97,芒果超媒300413.SZ,0.424015749,0,0.27106564,0,0.212007874,1.751432935,0.577268812,0.524202118,,,,,,,,,,,,,,,,,
98,蓝思科技300433.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
99,先导智能300450.SZ,1.537471655,0,0.481627534,0,0.768735827,7.630135452,2.231586885,1.369486088,,,,,,,,,,,,,,,,,
100,深信服300454.SZ,0.443369907,0.00059277,0.343092601,0.00059277,0.221684953,2.227215724,0.647785261,0.656196163,,,,,,,,,,,,,,,,,
101,中科创达300496.SZ,0.469691812,0.039424452,0.144901339,0.039424452,0.234845906,2.197230923,0.663758017,1.276139064,,,,,,,,,,,,,,,,,
102,温氏股份300498.SZ,3.249838202,1.140727061,1.458224746,0.655036574,1.624919101,11.70621795,3.957721171,1.377823893,,,,,,,,,,,,,,,,,
103,健帆生物300529.SZ,0.159139102,0,0.159139102,0,0.079569551,0.613790937,0.214583122,0,,,,,,,,,,,,,,,,,
104,欧普康视300595.SZ,0.361079216,0,0.361079216,0,0.180539608,1.392663067,0.486879116,0,,,,,,,,,,,,,,,,,
105,康泰生物300601.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
106,亿联网络300628.SZ,1.720211731,0.062089805,0.590319351,0.062089805,0.860105866,7.395407682,2.366246459,1.239972256,,,,,,,,,,,,,,,,,
107,圣邦股份300661.SZ,1.408407105,0.081234684,0.652913937,0.081234684,0.704203552,4.955107603,1.760964633,0.923881522,,,,,,,,,,,,,,,,,
108,宁德时代300750.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,,,,,,,,
109,迈为股份300751.SZ,3.874342314,0.34788577,1.602721231,0.249495196,1.937171157,12.64445036,4.734237623,0.891699274,,,,,,,,,,,,,,,,,
110,康龙化成300759.SZ,1.064266238,0,0.436221632,0,0.532133119,4.922779409,1.497608015,0.986809425,,,,,,,,,,,,,,,,,
111,迈瑞医疗300760.SZ,1.618377683,0.168809201,0.451489618,0.06416225,0.809188841,7.424204382,2.24164262,1.438739334,,,,,,,,,,,,,,,,,
112,锦浪科技300763.SZ,1.15461912,0.243745416,0.764114876,0.243745416,0.57730956,5.224021048,1.620265405,1.182186851,,,,,,,,,,,,,,,,,
113,德方纳米300769.SZ,10000,0,5000.103335,0,5000,38569.46079,13483.99725,0.000243597,,,,,,,,,,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0
114,卓胜微300782.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
115,爱美客300896.SZ,5.38645571,0.559968335,1.937349437,0.319258348,2.693227855,19.19625145,6.472501003,1.708793606,,,,,,,,,,,,,,,,,
116,中伟股份300919.SZ,0.677675605,0,0.308068457,0,0.338837802,3.323101474,0.977249604,1.609549269,大,,,,,,,,,,,,,,,,
117,金龙鱼300999.SZ,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
118,浦发银行600000.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
119,上海机场600009.SH,1.304256445,0.01599088,0.761933361,0.01599088,0.652128222,4.246572198,1.548138745,1.00774881,,,,,,,,,,,,,,,,,
120,包钢股份600010.SH,0.58194844,0.027854943,0.332170646,0.016746552,0.29097422,1.738374894,0.688610082,0.571195373,,,,,,,,,,,,,,,,,
121,华能国际600011.SH,1.37191879,0.067721622,1.37191879,0.037568634,0.685959395,4.320717416,1.671126462,0.340658424,,,,,,,,,,,,,,,,,
122,华夏银行600015.SH,1.035114325,0.077277402,0.71490989,0.077277402,0.517557162,4.243351528,1.392680062,0.761229815,,,,,,,,,,,,,,,,,
123,民生银行600016.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
124,上港集团600018.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
125,宝钢股份600019.SH,7.344175347,0.151300478,2.138642571,0.107546952,3.672087674,29.23761461,9.803582542,1.365585899,,,,,,,,,,,,,,,,,
126,华能水电600025.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
127,中国石化600028.SH,1.103433006,0,0.408379604,0,0.551716503,6.032238683,1.676340928,2.238858478,,,,,,,,,,,,,,,,,
128,南方航空600029.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
129,中信证券600030.SH,0.214989688,0,0.210878089,0,0.107494844,1.600260484,0.398883304,0.692957092,,,,,,,,,,,,,,,,,
130,三一重工600031.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
131,招商银行600036.SH,0.327642,0,0.208090332,0,0.163821,1.656264655,0.479674532,1.008990251,,,,,,,,,,,,,,,,,
132,四川路桥600039.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
133,保利发展600048.SH,3.014688503,0,1.239504692,0,1.507344251,18.06677625,4.839918739,1.3489474,,,,,,,,,,,,,,,,,
134,中国联通600050.SH,1.035114325,0.077277402,0.71490989,0.077277402,0.517557162,4.243351528,1.392680062,0.761229815,,,,,,,,,,,,,,,,,
135,国投资本600061.SH,0.002235221,0,0.002235221,0,0.00111761,0.008621126,0.003013971,0,,,,,,,,,,,,,,,,,
136,同仁堂600085.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
137,特变电工600089.SH,0.785196739,0.044804157,0.251750623,0.044804157,0.392598369,1.924810286,0.826987886,1.127898451,,,,,,,,,,,,,,,,,
138,上汽集团600104.SH,0.19456017,0,0.119804421,0,0.097280085,0.789102923,0.263889546,0.483323405,,,,,,,,,,,,,,,,,
139,北方稀土600111.SH,0.845972405,0,0.255141595,0,0.422986202,3.840175087,1.182278659,1.253691437,,,,,,,,,,,,,,,,,
140,中国东航600115.SH,1.58939762,0.085498168,0.83819027,0.085498168,0.79469881,10.49172002,2.7088703,1.407429109,,,,,,,,,,,,,,,,,
141,重庆啤酒600132.SH,0.754916066,0.042312924,0.276580089,0.042312924,0.377458033,2.643259742,0.917729408,1.664847119,,,,,,,,,,,,,,,,,
142,中国船舶600150.SH,2.010710671,0.132293285,0.977771684,0.132293285,1.005355335,8.461394198,2.748042989,0.969647888,,,,,,,,,,,,,,,,,
143,中国巨石600176.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
144,生益科技600183.SH,0.009543847,0,0.009543847,0,0.004771923,0.036810102,0.01286892,0,,,,,,,,,,,,,,,,,
145,兖矿能源600188.SH,5000,5000,5000,5000,5000,5000,5000,5000,,,,,,,,,,,,,,,,,
